549e992a42, Sooo SAD I will miss you here in San Diego!!!,1,negative
088c60f138,my boss is bullying me...,1,negative
9642c003ef, what interview! leave me alone,1,negative
358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought",1,negative
6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,0,positive
fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),0,positive
16fab9f95b,I really really like the song Love Story by Taylor Swift,0,positive
74a76f6e0a,My Sharpie is running DANGERously low on ink,1,negative
04dd1d2e34,i want to go to music tonight but i lost my voice.,1,negative
8a939bfb59,"Uh oh, I am sunburned",1,negative
3440297f8b," S`ok, trying to plot alternatives as we speak *sigh*",1,negative
919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",1,negative
af3fed7fc3,is back home now      gonna miss every one,1,negative
e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,0,positive
e00c6ef376,"the free fillin` app on my ipod is fun, im addicted",0,positive
852edc3769,  I`m sorry.,1,negative
bdc32ea43c,On the way to Malaysia...no internet access to Twit,1,negative
6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,0,positive
d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,1,negative
d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,0,positive
7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,0,positive
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,1,negative
2dc51711bc, That`s very funny.  Cute kids.,0,positive
2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,1,negative
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,1,negative
2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",0,positive
fab6b7d16c,im an avid fan of **** magazine and i love your magazines,0,positive
c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,0,positive
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,1,negative
3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",1,negative
3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,1,negative
11084dac09, it is ****...u have dissappointed me that past few days,1,negative
d8ba2a99a9, romance zero is funny,0,positive
b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,1,negative
703afdc44b,Aw. Torn ace of hearts  #Hunchback,1,negative
52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home",1,negative
2a9765b7f9,I give in to easily,1,negative
90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,0,positive
98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,1,negative
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,0,positive
fa2654e730,Chilliin,0,positive
a4e00d4d26, a celtics-lakers rematch sounds better don`t you think? lol,0,positive
35f393a245,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",1,negative
0a61cbf4b5,I am sooo tired,1,negative
bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,0,positive
58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....,0,positive
64ed512788,Sick. With a flu like thing.,1,negative
4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",1,negative
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),0,positive
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,1,negative
9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,0,positive
a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,0,positive
55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,1,negative
4c41a35a2a,Happy Mothers day to all you Mums out there,0,positive
61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",1,negative
447dc22c81, hemp cloth is marvelous but unfortunately no,1,negative
92e1b6846e, We saw that in none 3D - the baddie`s the best,0,positive
2207d982bc,4am. And Im on the beach. Pretty,0,positive
ebcdf07ac5,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",1,negative
fd9fb4f1ad,i realy wanted to go out cause its so nice but everybodys busy,1,negative
6b018d3d2d, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,0,positive
40649553ef, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,0,positive
561b44a42f, have a safe trip joshy poo.......you`ll knock them dead at your speech,0,positive
a05aea73d7," woof, I wish I was allowed to go",0,positive
d421fbd332,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",0,positive
a655fbb5eb,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",0,positive
43e9a93104,So many tests todayyy  I don`t feel confident about anyy.,1,negative
401869d615,graduation is done  im a little sad.. anyone want to hang out???,1,negative
9843c4688e, hahaa your awesomee !,0,positive
87fbf14655,holy smokes! star trek was freaking awesomeeeee,0,positive
66057d58c2,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",1,negative
af90ad5989," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",1,negative
f0460d611d,not well,1,negative
6649f3558c, Not a prob hun,0,positive
94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,0,positive
29dfaf5e3b,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",0,positive
974b35f889, =O you need to ask him something? Lmao I love him too,0,positive
